original_title
Uri: The Surgical Strike
Battalion 609
The Accidental Prime Minister
Why Cheat India
Evening Shadows
Soni
Fraud Saiyyan
Bombairiya
Manikarnika: The Queen of Jhansi
Thackeray
Amavas
Gully Boy
Hum chaar
Total Dhamaal
Sonchiriya
Badla
Mard Ko Dard Nahin Hota
Hamid
Photograph
Risknamaa
Mere Pyare Prime Minister
22 Yards
Kesari
Notebook
Junglee
Gone Kesh
Albert Pinto Ko Gussa Kyun Aata Hai?
The Tashkent Files
Kalank
Setters
Student of the Year 2
PM Narendra Modi
De De Pyaar De
India's Most Wanted
Yeh Hai India
Khamoshi
Kabir Singh
Article 15
One Day: Justice Delivered
Hume Tumse Pyaar Kitna
Super 30
Family of Thakurganj
Batla House
Jhootha Kahin Ka
Judgementall Hai Kya
Chicken Curry Law
Arjun Patiala
Jabariya Jodi
Pranaam
The Sky Is Pink
Mission Mangal
Saaho
Dream Girl
Section 375
The Zoya Factor
Pal Pal Dil Ke Paas
Prassthanam
P Se Pyaar F Se Faraar
Ghost
Bala
#Yaaram
Housefull 4
Saand Ki Aankh
Made in China
Ujda Chaman
Bypass Road
Satellite Shankar
Jhalki
Marjaavaan
Motichoor Chaknachoor
Keep Safe Distance
Pagalpanti
Yeh Saali Aashiqui
Dil Bechara
Pati Patni Aur Woh
Commando 3
Mardaani 2
Dabangg 3
Good Newwz
Kaalakaandi
Vodka Diaries
My Birthday Song
Nirdosh
Mukkabaaz
Union Leader
Love Per Square Foot
Aiyaary
Padmaavat
Kuchh Bheege Alfaaz
Jaane kyun de yaaron
Veerey Ki Wedding
Sonu Ke Titu Ki Sweety
Hate Story IV
Dil Juunglee
3 Storeys
Raid
Hichki
Missing
Baaghi 2
October
Mercury
Beyond the Clouds
Nanu Ki Jaanu
Daas Dev
Omerta
Raazi
Hope Aur Hum
High Jack
Khajoor Pe Atke
Parmanu: The Story of Pokhran
Bioscopewala
Bhavesh Joshi Superhero
Phamous
Race 3
Dhadak
Sanju
Saheb Biwi Aur Gangster 3
Nawabzaade
Mulk
Brij Mohan Amar Rahe
Karwaan
Gold
Satyameva Jayate
Happy Phirr Bhag Jayegi
Genius
Yamla Pagla Deewana Phir Se...
Stree
Paltan
Laila Majnu
Gali Guleiyan
Halkaa
Pataakha
Batti Gul Meter Chalu
Love Sonia
Manto
Ishqeria
Manmarziyaan
Mitron
Sui Dhaaga: Made in India
Baazaar
Jalebi
FryDay
Tumbbad
Helicopter Eela
Namaste England
Andhadhun
Badhaai Ho
5 Weddings
Kaashi in Search of Ganga
Dassehra
The Journey of Karma
Jack & Dil
Mohalla Assi
Pihu
Bhaiaji Superhit
Rajma Chawal
Zero
Simmba
Tiger Zinda Hai
Golmaal Again
Judwaa 2
OK Jaanu
Coffee with D
Kaabil
Raees
Thugs of Hindostan
Hind Ka Napak Ko Jawab
Running Shaadi
The Ghazi Attack
Irada
Rangoon
Wedding Anniversary
Jeena Isi Ka Naam Hai
Badrinath Ki Dulhania
Trapped
Aa Gaya Hero
Mantra
Phillauri
Machine
Bhanwarey
Anaarkali of Aarah
Naam Shabana
Hotel Salvation
Begum Jaan
Noor
Ek Rani Aisi Bhi Thi
Maatr
Sarkar 3
Jattu Engineer
Half Girlfriend
Meri Pyaari Bindu
Sachin
Hindi Medium
Sweetiee Weds NRI
Dobaara: See Your Evil
Flat 211
Dear Maya
Raabta
Behen Hogi Teri
Tubelight
Bank Chor
Ek Haseena Thi Ek Deewana Tha
Jagga Jasoos
Shab
Lipstick Under My Burkha
Bachche Kachche Sachche
G Kutta Se
Indu Sarkar
Jab Harry Met Sejal
Munna Michael
Toilet - Ek Prem Katha
Mubarakan
Guest iin London
Bareilly Ki Barfi
Babumoshai Bandookbaaz
YADVI: The Dignified Princess
Qaidi Band
Shubh Mangal Saavdhan
Raag Desh
Daddy
Simran
Lucknow Central
A Gentleman
Viceroy's House
Patel Ki Punjabi Shaadi
Newton
The Final Exit
Bhoomi
Haseena Parkar
J.D.
Haraamkhor
Poster Boys
Mom
Chef
Ranchi Diaries
Babuji Ek Ticket Bambai
Rukh
Secret Superstar
The House Next Door
Ribbon
Shaadi Mein Zaroor Aana
Jia aur Jia
Qarib Qarib Singlle
Aksar 2
Panchlait
Tumhari Sulu
Julie 2
